antiguedad_meses,gasto_mensual,visitas_ultimo_mes,dias_desde_ultima_visita,tickets_soporte,plan,metodo_pago,descuento_activo,cancelo
16,17.93,9,20,0,estandar,tarjeta,0,0
10,11.5,4,2,0,basico,tarjeta,0,0
6,48.49,1,18,0,premium,tarjeta,1,0
12,26.11,0,6,2,estandar,tarjeta,0,0
34,13.88,6,45,0,basico,tarjeta,0,1
11,41.99,4,38,1,premium,tarjeta,0,1
12,26.02,6,5,0,estandar,transferencia,0,0
26,24.61,9,7,0,estandar,efectivo,0,0
16,11.19,9,0,1,basico,transferencia,0,0
22,22.28,7,11,2,estandar,efectivo,0,1
17,15.66,8,1,1,basico,transferencia,0,0
16,46.38,3,10,0,premium,transferencia,1,0
3,25.98,8,15,0,estandar,tarjeta,1,0
5,53.2,9,86,0,premium,transferencia,0,1
14,13.9,9,7,2,basico,tarjeta,0,0
6,16.8,10,2,1,basico,tarjeta,0,0
12,26.09,2,31,0,estandar,tarjeta,0,0
5,10.59,0,6,0,basico,transferencia,0,1
27,40.76,14,21,1,premium,transferencia,0,0
7,25.97,6,14,2,estandar,efectivo,0,1
6,14.35,7,29,1,estandar,efectivo,0,1
4,13.09,9,15,0,basico,efectivo,1,1
20,46.26,3,23,0,premium,tarjeta,0,0
12,44.13,5,58,2,premium,efectivo,0,0
26,24.63,7,6,0,estandar,transferencia,0,0
8,7.0,5,11,0,basico,efectivo,0,0
5,30.54,5,34,2,estandar,tarjeta,0,0
12,10.65,4,1,0,basico,tarjeta,0,0
29,8.11,11,30,1,basico,efectivo,0,1
3,27.18,6,18,2,estandar,tarjeta,1,0
15,25.44,9,4,0,estandar,tarjeta,0,0
16,43.57,14,9,1,premium,tarjeta,0,0
33,10.14,9,61,0,basico,tarjeta,0,0
6,11.98,8,44,0,basico,tarjeta,0,0
3,30.38,8,17,0,estandar,efectivo,0,1
9,13.88,5,8,0,basico,efectivo,0,1
22,11.86,2,49,0,basico,efectivo,0,1
13,28.41,3,14,0,estandar,tarjeta,0,0
18,12.11,6,24,0,basico,tarjeta,0,0
5,26.61,0,17,0,estandar,tarjeta,0,0
10,12.6,8,56,0,basico,tarjeta,0,1
13,47.36,6,11,0,premium,tarjeta,0,0
3,23.22,3,8,1,estandar,transferencia,0,0
13,7.44,11,19,1,basico,efectivo,0,1
10,48.63,3,25,0,premium,tarjeta,0,0
60,51.02,2,0,0,premium,tarjeta,0,0
12,7.63,15,6,0,basico,tarjeta,0,0
34,12.72,14,0,0,basico,tarjeta,0,0
18,23.2,3,2,0,estandar,tarjeta,0,0
11,15.53,9,16,2,basico,tarjeta,1,1
31,12.99,4,90,1,basico,tarjeta,0,1
5,25.31,0,34,1,basico,tarjeta,1,1
9,23.79,10,18,1,estandar,transferencia,0,0
23,31.15,17,23,0,estandar,tarjeta,0,0
1,31.54,6,3,1,estandar,tarjeta,0,0
12,27.13,2,90,0,estandar,tarjeta,0,1
12,25.15,9,24,0,estandar,tarjeta,0,0
15,25.38,5,15,1,estandar,tarjeta,0,1
11,12.04,8,32,0,basico,transferencia,0,0
22,16.53,8,35,1,basico,efectivo,0,1
7,21.51,1,4,3,estandar,transferencia,0,1
24,24.36,4,44,3,estandar,tarjeta,1,1
5,23.87,2,18,1,estandar,tarjeta,1,1
16,18.1,9,3,1,estandar,tarjeta,1,0
28,28.44,7,2,0,estandar,tarjeta,0,0
6,29.25,6,6,0,estandar,efectivo,0,0
8,22.46,5,11,4,estandar,tarjeta,0,0
25,16.12,5,6,1,basico,tarjeta,0,0
14,5.67,7,4,0,basico,tarjeta,0,0
3,12.1,5,4,0,basico,tarjeta,1,0
15,11.49,10,55,0,basico,efectivo,0,1
20,12.35,1,61,0,basico,tarjeta,0,1
26,45.33,5,35,0,premium,tarjeta,0,0
16,11.69,7,10,0,basico,tarjeta,1,1
18,10.45,9,63,0,basico,transferencia,1,1
36,11.57,11,24,0,basico,tarjeta,1,0
23,17.45,4,46,1,basico,transferencia,1,1
10,22.69,16,21,0,estandar,tarjeta,0,0
11,34.02,0,6,0,estandar,tarjeta,0,0
27,22.46,0,90,2,estandar,efectivo,0,1
15,25.96,4,4,1,estandar,tarjeta,0,0
14,14.28,4,79,0,basico,tarjeta,1,1
10,43.83,4,23,1,premium,tarjeta,0,1
27,17.53,2,7,1,basico,tarjeta,0,0
7,14.18,4,12,1,basico,tarjeta,0,0
9,11.18,3,6,1,basico,transferencia,0,0
27,30.49,8,23,0,estandar,tarjeta,0,0
27,20.94,9,27,0,estandar,tarjeta,0,0
50,9.74,4,16,0,basico,tarjeta,1,0
12,27.25,3,25,1,estandar,transferencia,0,1
10,15.21,3,8,0,basico,tarjeta,0,0
11,26.29,12,13,0,estandar,tarjeta,0,1
3,11.49,11,1,0,basico,transferencia,0,0
2,10.99,6,9,0,basico,transferencia,0,0
16,16.53,5,14,1,basico,efectivo,0,0
10,25.96,9,35,0,estandar,tarjeta,0,0
7,8.51,10,8,0,basico,tarjeta,1,0
14,8.28,8,26,0,basico,tarjeta,0,0
16,18.05,7,9,0,basico,transferencia,0,0
12,42.12,11,25,1,premium,tarjeta,0,0
12,46.09,0,7,0,premium,tarjeta,0,0
9,30.4,9,2,1,estandar,tarjeta,1,0
21,14.17,7,11,1,basico,transferencia,0,0
8,41.97,5,6,0,premium,transferencia,0,0
6,20.94,0,27,1,estandar,tarjeta,0,1
9,32.48,0,18,0,estandar,efectivo,1,1
15,7.84,10,6,0,basico,efectivo,0,0
22,9.79,6,42,2,basico,tarjeta,1,1
41,13.49,18,14,0,basico,tarjeta,0,0
14,44.12,6,1,0,premium,transferencia,0,0
34,27.3,5,26,1,estandar,tarjeta,0,0
8,6.13,1,64,0,basico,tarjeta,0,1
7,11.16,7,12,1,basico,tarjeta,0,0
17,27.71,16,2,0,estandar,efectivo,1,0
19,14.72,11,24,2,basico,tarjeta,0,0
15,42.71,2,15,0,premium,transferencia,0,0
60,20.91,10,74,1,estandar,tarjeta,0,1
8,25.85,9,20,0,estandar,tarjeta,0,0
30,6.75,12,11,1,basico,efectivo,0,0
7,30.14,4,28,0,estandar,tarjeta,0,0
20,25.63,5,18,0,estandar,tarjeta,0,0
13,22.21,12,39,0,estandar,tarjeta,1,1
15,7.78,10,2,0,basico,transferencia,0,0
18,9.47,7,20,3,basico,tarjeta,0,0
14,5.75,0,7,0,basico,tarjeta,1,0
12,26.98,7,8,1,estandar,tarjeta,0,0
2,8.79,7,6,0,basico,tarjeta,0,0
24,13.6,5,29,1,basico,tarjeta,0,0
4,14.15,1,20,0,basico,tarjeta,0,0
10,28.86,3,12,0,estandar,tarjeta,0,0
16,13.01,7,3,0,basico,tarjeta,1,0
5,49.5,13,18,0,premium,transferencia,0,0
12,30.54,1,13,1,estandar,transferencia,1,1
22,13.03,0,6,1,basico,tarjeta,0,0
9,26.27,10,20,3,estandar,tarjeta,1,1
12,9.77,5,38,1,basico,tarjeta,0,1
6,41.05,6,2,0,premium,efectivo,0,0
10,30.13,4,8,1,estandar,tarjeta,1,0
4,27.42,4,59,2,estandar,tarjeta,0,1
15,14.75,5,48,0,basico,tarjeta,0,1
4,22.64,3,6,0,estandar,tarjeta,0,0
8,31.5,1,63,1,estandar,tarjeta,0,1
13,44.09,6,8,1,premium,tarjeta,0,0
11,21.79,15,7,0,estandar,transferencia,0,0
17,22.71,5,75,2,estandar,transferencia,1,1
12,18.28,11,12,0,basico,transferencia,0,0
2,7.56,8,1,2,basico,transferencia,0,1
5,22.0,5,6,1,estandar,tarjeta,0,0
13,23.59,6,3,1,basico,efectivo,0,1
26,15.76,15,3,0,basico,transferencia,1,0
23,42.07,8,0,0,premium,transferencia,0,0
60,40.67,5,10,2,premium,transferencia,0,0
9,5.31,3,23,2,basico,tarjeta,1,1
22,25.39,10,18,1,estandar,tarjeta,1,0
21,14.91,1,45,1,basico,tarjeta,0,1
35,31.08,10,90,0,estandar,tarjeta,0,1
29,5.0,10,18,0,basico,tarjeta,0,0
16,19.7,3,42,1,estandar,tarjeta,1,0
19,24.52,6,4,2,estandar,tarjeta,0,0
17,36.15,8,24,1,estandar,efectivo,1,0
13,15.54,2,10,1,basico,transferencia,0,1
18,46.49,9,26,0,premium,tarjeta,0,0
15,7.1,3,28,0,basico,tarjeta,1,1
14,5.0,3,3,1,basico,tarjeta,0,0
36,25.16,4,12,0,estandar,efectivo,1,0
16,11.6,13,5,0,basico,transferencia,0,0
14,43.93,12,4,0,premium,transferencia,0,0
11,43.48,10,3,0,premium,tarjeta,0,0
11,9.01,10,8,0,basico,tarjeta,1,0
5,41.09,2,21,0,premium,transferencia,0,1
13,17.56,14,30,0,basico,efectivo,0,1
27,21.45,2,12,1,estandar,tarjeta,0,0
8,10.9,0,17,0,basico,tarjeta,1,1
46,44.84,9,31,0,premium,tarjeta,0,0
1,14.83,5,10,1,basico,tarjeta,1,0
18,8.59,0,69,1,basico,efectivo,0,1
15,15.91,5,6,0,basico,transferencia,0,0
36,42.68,9,19,0,premium,tarjeta,0,0
8,44.35,11,7,0,premium,tarjeta,0,0
4,31.57,3,38,1,estandar,tarjeta,1,1
11,41.12,0,21,0,premium,tarjeta,0,0
10,47.88,3,6,3,premium,tarjeta,0,1
3,29.02,5,15,1,estandar,transferencia,0,0
14,13.24,18,6,0,basico,transferencia,1,0
9,24.53,12,24,0,estandar,tarjeta,0,0
31,33.5,3,3,1,estandar,transferencia,0,0
14,11.94,9,34,0,basico,transferencia,1,1
7,12.82,3,37,1,basico,tarjeta,0,1
13,23.65,14,3,0,estandar,transferencia,1,0
15,12.6,8,12,1,basico,transferencia,0,0
19,48.86,11,22,0,premium,transferencia,1,0
13,10.9,12,30,1,basico,tarjeta,0,1
45,5.0,10,1,0,basico,tarjeta,0,0
5,47.05,3,2,0,premium,tarjeta,0,0
9,7.69,7,81,0,basico,tarjeta,0,1
7,14.97,10,45,0,basico,tarjeta,0,0
10,24.99,9,20,0,estandar,transferencia,0,1
16,48.77,4,43,1,premium,tarjeta,1,0
15,8.21,17,28,0,basico,tarjeta,0,0
19,9.86,4,2,1,basico,efectivo,0,1
14,23.64,1,7,0,estandar,tarjeta,1,0
14,39.07,13,30,0,premium,tarjeta,0,0
14,29.45,5,40,0,estandar,tarjeta,0,1
9,5.5,11,1,0,basico,tarjeta,0,0
9,16.39,8,2,1,basico,tarjeta,1,0
7,13.7,2,35,1,basico,transferencia,0,0
19,11.2,6,21,0,basico,tarjeta,0,0
2,26.38,5,1,0,estandar,tarjeta,0,0
14,13.27,7,31,0,basico,tarjeta,1,0
22,23.4,7,25,0,estandar,transferencia,0,0
26,26.19,9,19,0,estandar,tarjeta,0,0
1,27.92,7,19,0,estandar,transferencia,0,1
10,8.22,7,14,0,basico,tarjeta,0,0
7,46.38,9,9,0,premium,tarjeta,1,0
9,14.49,9,9,0,estandar,tarjeta,0,0
29,17.28,16,55,0,estandar,tarjeta,1,1
7,14.26,2,47,1,basico,tarjeta,1,1
22,10.33,11,13,0,basico,transferencia,0,0
14,41.59,12,25,1,premium,tarjeta,0,0
9,11.79,2,38,0,basico,tarjeta,1,1
8,10.42,4,9,0,basico,tarjeta,1,0
15,21.05,3,6,2,estandar,tarjeta,0,0
12,18.44,9,10,1,estandar,tarjeta,1,0
3,37.13,7,3,0,premium,tarjeta,0,0
6,14.96,3,6,0,basico,tarjeta,0,0
16,43.31,9,18,1,premium,tarjeta,0,0
5,15.88,6,10,2,basico,tarjeta,0,0
24,23.27,5,35,0,estandar,tarjeta,0,0
3,26.42,5,5,1,estandar,tarjeta,1,0
11,11.5,7,19,0,basico,tarjeta,1,0
20,12.18,1,1,0,basico,efectivo,0,0
6,12.37,16,7,1,basico,tarjeta,0,0
4,43.22,3,1,1,premium,transferencia,0,0
18,20.08,0,36,1,estandar,tarjeta,1,1
22,48.06,1,80,0,premium,tarjeta,0,1
11,51.37,8,7,0,premium,tarjeta,0,0
9,31.64,6,3,0,estandar,tarjeta,0,0
3,22.79,3,3,3,estandar,transferencia,0,1
13,9.07,18,26,0,basico,transferencia,0,0
2,9.78,13,36,0,basico,tarjeta,1,0
30,44.3,8,18,2,premium,transferencia,0,0
11,24.79,7,34,0,estandar,tarjeta,1,1
6,8.01,7,7,2,basico,tarjeta,1,1
8,19.08,2,2,2,estandar,transferencia,1,0
14,25.2,14,30,0,estandar,tarjeta,0,1
9,30.88,7,22,0,premium,tarjeta,0,0
13,24.6,2,8,0,estandar,efectivo,0,1
5,8.22,5,39,0,basico,efectivo,0,1
26,15.12,13,1,0,basico,transferencia,1,0
8,16.19,9,2,0,basico,tarjeta,0,0
2,29.28,9,4,0,estandar,transferencia,0,0
10,43.61,9,11,0,premium,tarjeta,0,0
7,20.46,3,1,0,estandar,tarjeta,0,0
25,8.74,5,18,0,basico,tarjeta,0,1
6,13.15,3,90,0,basico,efectivo,0,1
9,18.42,9,7,2,estandar,efectivo,1,1
15,50.57,3,24,1,premium,transferencia,0,0
19,10.68,5,11,0,basico,tarjeta,0,0
31,14.0,15,0,0,basico,tarjeta,0,0
6,17.87,7,43,0,estandar,tarjeta,1,0
29,8.3,7,22,1,basico,efectivo,0,1
24,37.38,0,40,2,premium,tarjeta,0,1
7,16.08,2,22,0,basico,tarjeta,0,0
6,11.36,14,11,0,basico,transferencia,0,0
17,47.29,12,50,0,premium,tarjeta,0,0
12,12.25,5,15,0,basico,transferencia,0,0
17,13.87,3,26,2,basico,tarjeta,1,1
10,10.65,15,6,0,basico,transferencia,0,0
13,11.19,8,31,1,basico,tarjeta,0,1
12,11.63,10,6,0,basico,tarjeta,0,0
17,13.62,0,28,2,basico,tarjeta,0,0
6,13.73,6,3,0,basico,tarjeta,0,0
14,23.25,15,2,0,basico,tarjeta,0,0
31,31.73,8,43,0,estandar,tarjeta,0,0
29,17.88,13,4,1,estandar,tarjeta,1,0
15,11.43,10,22,0,basico,transferencia,0,0
6,10.38,8,33,0,basico,tarjeta,0,0
40,30.12,16,2,0,estandar,transferencia,0,0
17,43.74,4,1,1,premium,transferencia,0,0
38,46.86,6,36,1,premium,tarjeta,0,0
17,5.0,4,33,0,basico,transferencia,0,0
1,5.95,4,4,0,basico,tarjeta,0,0
40,20.37,0,42,1,basico,tarjeta,0,1
